"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 11 11:56:26 WAT 2023","Fri Aug 11 11:56:27 WAT 2023","1198","Marketing","SMS Campaigns","","","","Send a test SMS campaign",""
"failed","Fri Aug 11 11:56:16 WAT 2023","Fri Aug 11 11:56:16 WAT 2023","282","Sales CRM","Tasks","","","","Update a task",""
"passed","Fri Aug 11 11:57:02 WAT 2023","Fri Aug 11 11:57:03 WAT 2023","245","Transactional","Logs","","","","Delete an SMTP transactional log",""
"failed","Fri Aug 11 11:56:15 WAT 2023","Fri Aug 11 11:56:16 WAT 2023","341","Sales CRM","Tasks","","","","Get a task",""
"passed","Fri Aug 11 11:56:58 WAT 2023","Fri Aug 11 11:56:59 WAT 2023","875","Transactional","Statistics","","","","Get your transactional email activity aggregated per day",""
"passed","Fri Aug 11 11:56:36 WAT 2023","Fri Aug 11 11:56:36 WAT 2023","329","Contact management","Contacts","","","","Create Contact via DOI (Double-Opt-In) Flow",""
"passed","Fri Aug 11 11:57:03 WAT 2023","Fri Aug 11 11:57:04 WAT 2023","279","Transactional","Inbound Email Parsing","","","","Retrieve inbound attachment with download token.",""
"passed","Fri Aug 11 11:57:05 WAT 2023","Fri Aug 11 11:57:05 WAT 2023","354","Transactional","SMS statistics","","","","Get all your SMS activity (unaggregated events)",""
"passed","Fri Aug 11 11:57:08 WAT 2023","Fri Aug 11 11:57:08 WAT 2023","432","Account","Reseller","Credits","","","Add Email and/or SMS credits to a specific child account",""
"passed","Fri Aug 11 11:56:33 WAT 2023","Fri Aug 11 11:56:34 WAT 2023","461","Conversations","Pushed messages","","","","Update an automated message",""
"passed","Fri Aug 11 11:56:52 WAT 2023","Fri Aug 11 11:56:52 WAT 2023","286","Transactional","Email API","","","","Send a transactional email",""
"failed","Fri Aug 11 11:56:14 WAT 2023","Fri Aug 11 11:56:15 WAT 2023","275","Sales CRM","Tasks","","","","Get all tasks",""
"failed","Fri Aug 11 11:56:20 WAT 2023","Fri Aug 11 11:56:20 WAT 2023","322","Marketing","Email Campaigns","","","","Get an email campaign report",""
"failed","Fri Aug 11 11:56:17 WAT 2023","Fri Aug 11 11:56:17 WAT 2023","269","Sales CRM","Notes","","","","Create a note",""
"passed","Fri Aug 11 11:56:39 WAT 2023","Fri Aug 11 11:56:39 WAT 2023","327","Contact management","Contacts","","","","Get a contact's details",""
"failed","Fri Aug 11 11:56:13 WAT 2023","Fri Aug 11 11:56:14 WAT 2023","454","Sales CRM","Deals","","","","Get a deal",""
"failed","Fri Aug 11 11:56:09 WAT 2023","Fri Aug 11 11:56:09 WAT 2023","453","Sales CRM","Companies","","","","Create a company",""
"passed","Fri Aug 11 11:56:50 WAT 2023","Fri Aug 11 11:56:51 WAT 2023","261","Contact management","Attributes","","","","Update contact attribute",""
"failed","Fri Aug 11 11:56:26 WAT 2023","Fri Aug 11 11:56:26 WAT 2023","576","Marketing","SMS Campaigns","","","","Update a campaign's status",""
"passed","Fri Aug 11 11:56:24 WAT 2023","Fri Aug 11 11:56:25 WAT 2023","276","Marketing","SMS Campaigns","","","","Get an SMS campaign",""
"failed","Fri Aug 11 11:56:15 WAT 2023","Fri Aug 11 11:56:15 WAT 2023","295","Sales CRM","Tasks","","","","Create a task",""
"passed","Fri Aug 11 11:57:05 WAT 2023","Fri Aug 11 11:57:05 WAT 2023","473","Transactional","SMS statistics","","","","Get your SMS activity aggregated per day",""
"passed","Fri Aug 11 11:57:01 WAT 2023","Fri Aug 11 11:57:02 WAT 2023","495","Transactional","Blocked Domains","","","","Unblock an existing domain from the list of blocked domains",""
"passed","Fri Aug 11 11:56:54 WAT 2023","Fri Aug 11 11:56:55 WAT 2023","495","Transactional","Email API","","","","Fetch scheduled emails by batchId or messageId",""
"passed","Fri Aug 11 11:56:51 WAT 2023","Fri Aug 11 11:56:52 WAT 2023","564","Contact management","Attributes","","","","Delete an attribute",""
"passed","Fri Aug 11 11:56:33 WAT 2023","Fri Aug 11 11:56:33 WAT 2023","409","Conversations","Pushed messages","","","","Send an automated message to a visitor",""
"passed","Fri Aug 11 11:56:50 WAT 2023","Fri Aug 11 11:56:50 WAT 2023","293","Contact management","Attributes","","","","List all attributes",""
"failed","Fri Aug 11 11:56:45 WAT 2023","Fri Aug 11 11:56:46 WAT 2023","780","Contact management","Folders","","","","Delete a folder (and all its lists)",""
"failed","Fri Aug 11 11:56:19 WAT 2023","Fri Aug 11 11:56:19 WAT 2023","482","Sales CRM","Files","","","","Download a file",""
"failed","Fri Aug 11 11:56:21 WAT 2023","Fri Aug 11 11:56:22 WAT 2023","273","Marketing","Email Campaigns","","","","Update an email campaign status",""
"passed","Fri Aug 11 11:56:32 WAT 2023","Fri Aug 11 11:56:33 WAT 2023","245","Conversations","Status","","","","Sets agent’s status to online for 2-3 minutes",""
"passed","Fri Aug 11 11:56:29 WAT 2023","Fri Aug 11 11:56:30 WAT 2023","518","Conversations","Messages","","","","Send a message as an agent",""
"passed","Fri Aug 11 11:57:03 WAT 2023","Fri Aug 11 11:57:03 WAT 2023","447","Transactional","Inbound Email Parsing","","","","Fetch all events history for one particular received email.",""
"passed","Fri Aug 11 11:57:09 WAT 2023","Fri Aug 11 11:57:10 WAT 2023","295","Account","Reseller","Domains","","","Get all sender domains for a specific child account",""
"passed","Fri Aug 11 11:57:04 WAT 2023","Fri Aug 11 11:57:04 WAT 2023","510","Transactional","SMS statistics","","","","Get your SMS activity aggregated over a period of time",""
"failed","Fri Aug 11 11:56:41 WAT 2023","Fri Aug 11 11:56:43 WAT 2023","1043","Contact management","Folders","","","","Get all folders",""
